Date,Open,High,Low,Close,Adj Close,Volume
2019-01-18,71.860001,73.620003,71.750000,73.339996,69.662491,2590438
2019-01-21,73.500000,73.589996,72.709999,73.029999,69.368034,739929
2019-01-22,72.480003,72.949997,72.300003,72.730003,69.083084,1068277
2019-01-23,72.000000,72.589996,71.620003,72.230003,68.608154,1380855
2019-01-24,72.150002,73.120003,71.900002,73.120003,69.453529,1419799
2019-01-25,73.500000,74.750000,73.500000,74.349998,70.621849,2173838
2019-01-28,74.309998,74.470001,73.570000,73.980003,70.270409,1335145
2019-01-29,73.550003,74.449997,73.010002,73.849998,70.146919,1115739
2019-01-30,73.900002,74.139999,73.089996,73.330002,69.653000,1187607
2019-01-31,74.209999,74.620003,72.360001,73.459999,69.776474,1648320
2019-02-01,73.750000,74.470001,73.279999,74.139999,70.422379,1529328
2019-02-04,73.989998,74.250000,72.860001,73.239998,69.567505,1527571
2019-02-05,73.610001,73.730003,73.000000,73.610001,69.918953,1579217
2019-02-06,73.389999,73.790001,72.889999,73.650002,69.956955,1290915
2019-02-07,73.199997,73.419998,71.220001,71.220001,67.648796,2602996
2019-02-08,70.690002,70.879997,69.010002,69.529999,66.043541,2549287
2019-02-11,69.610001,69.989998,68.570000,69.410004,65.929558,1964372
2019-02-12,69.949997,70.360001,69.169998,69.910004,66.404488,1725806
2019-02-13,70.500000,70.620003,69.680000,70.389999,66.860420,1785637
2019-02-14,71.000000,71.110001,69.339996,69.349998,65.872566,1847105
2019-02-15,69.099998,71.160004,68.110001,70.769997,67.221359,2744797
2019-02-18,70.199997,71.019997,69.959999,70.589996,67.050385,1095834
2019-02-19,70.239998,71.199997,70.089996,71.040001,67.477821,1136405
2019-02-20,71.110001,73.250000,71.110001,72.510002,68.874115,2063029
2019-02-21,72.550003,73.400002,72.470001,73.120003,69.453529,1637768
2019-02-22,72.970001,73.750000,72.809998,73.129997,69.463020,1312550
2019-02-25,73.790001,74.440002,73.400002,73.699997,70.004440,1786026
2019-02-26,73.239998,74.239998,72.910004,74.000000,70.289398,1437733
2019-02-27,73.690002,74.430000,73.500000,74.239998,70.517365,1158100
2019-02-28,73.879997,74.449997,73.589996,74.309998,70.583855,1118481
2019-03-01,74.900002,75.540001,74.629997,74.750000,71.001793,1458575
2019-03-04,75.330002,75.400002,74.570000,74.669998,70.925804,990670
2019-03-05,74.500000,75.160004,74.400002,75.059998,71.296249,1167940
2019-03-06,74.209999,74.809998,73.610001,74.529999,70.792824,1277239
2019-03-07,73.800003,73.809998,72.300003,73.089996,69.425026,1980823
2019-03-08,72.000000,72.230003,71.410004,72.160004,68.541664,1634876
2019-03-11,72.250000,73.230003,71.919998,73.180000,69.510521,1357029
2019-03-12,73.699997,73.940002,72.760002,73.099998,69.434525,1243429
2019-03-13,72.839996,73.769997,72.830002,73.629997,69.937950,1117529
2019-03-14,73.739998,74.709999,73.510002,73.779999,70.080429,1541976
2019-03-15,74.220001,75.180000,72.769997,74.089996,70.374886,4131566
2019-03-18,74.300003,74.419998,73.900002,74.169998,70.450874,954628
